Id,course,date,RaceTime,Race,Type,Class,AgeLimit,ran,Distance,Yards,going,Limit,WinTime,Seconds,speed,others,pos1,position,TotalBtn,,distance,CardNo,horsename,Draw,Sp,Age,Stone,Lbs,WeightLBS,Favs,Aid,trainer,Jockey,Allow,OR
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.67,7,7,31.25,31,62.5,6,Derrick Danjou,,2.75,11,10,4,144,Fav,t   p,J Bedi,Danny Burton,5,83
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.77,9,9,,9,18,1,Court At Slip,,22,5,11,7,161,,p1,T D Easterby,Mr W Easterby,5,100
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.77,9,9,,9,18,12,The Bravest (GER),,16,4,10,3,143,,t,I Jardine,Jamie Gormley,,95
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.77,9,9,,9,18,5,Trimmers Lane,,40,12,10,4,144,,,Micky Hammond,Emma Smith-Chaston,7,85
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.77,9,9,,9,18,10,Granny Mags,,50,6,9,13,139,,,R Michael Smith,William Shanahan,7,80
44562102,Catterick,01/01/2022,13:00,Randall Orchard Looking For 100 Winners Handicap Hurdle,h,5,4YO plus,12,3m 1f 71y,5571,Soft,100,6m 43.33s,403.33,13.81251085,13.77,9,9,,9,18,14,Great Raffles (FR),,33,6,10,0,140,,,Micky Hammond,A P Cawley,,74
44562103,Catterick,01/01/2022,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,3m 1f 54y,5554,Soft,,6m 50.92s,410.92,13.51601285,13.52,1,1,0,0,0,1,Rapper,,2.5,8,11,3,157,2Fav,,H D Daly,Ben Godfrey,5,134
44562103,Catterick,01/01/2022,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,3m 1f 54y,5554,Soft,,6m 50.92s,410.92,13.51601285,13.5,2,2,3,3,6,5,Thatsy (FR),,4,8,10,8,148,,,B Butterworth,Sean Quinlan,,120
44562103,Catterick,01/01/2022,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,3m 1f 54y,5554,Soft,,6m 50.92s,410.92,13.51601285,13.4,3,3,27,27,54,4,Tommie Beau,,1.875,7,10,3,143,Fav,,J W Mullins,J A Anderson,7,122
44562103,Catterick,01/01/2022,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,3m 1f 54y,5554,Soft,,6m 50.92s,410.92,13.51601285,13.39,4,4,28.25,28,56.5,6,Trevelyns Corn,,25,9,10,5,145,,t,Micky Hammond,A P Cawley,,117
44562103,Catterick,01/01/2022,13:35,Happy New Year From Vickers Bet Novices' Limited Handicap Chase (GBB Race),c,3,5YO plus,5,3m 1f 54y,5554,Soft,,6m 50.92s,410.92,13.51601285,13.48,9,9,,9,18,3,No Anxiety,,3.333333333,6,10,11,151,,,Jamie Snowden,Page Fuller,,123
44562104,Catterick,01/01/2022,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),h,4,4YO plus,5,1m 7f 156y,3456,Soft,,3m 59.34s,239.34,14.4397092,14.44,1,1,0,0,0,4,Socialist Agenda,,0.615384615,6,11,2,156,Fav,,L J Morgan,Sean Quinlan,,120
44562104,Catterick,01/01/2022,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),h,4,4YO plus,5,1m 7f 156y,3456,Soft,,3m 59.34s,239.34,14.4397092,14.43,2,2,0.75,1,1.5,1,Malpas,,2.125,7,11,3,157,2Fav,,D McCain Jnr,Theo Gillard,5,113
44562104,Catterick,01/01/2022,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),h,4,4YO plus,5,1m 7f 156y,3456,Soft,,3m 59.34s,239.34,14.4397092,14.22,3,3,27.75,28,55.5,2,Fenland Tiger,,12,6,11,2,156,,,S England,Jonathan England,,
44562104,Catterick,01/01/2022,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),h,4,4YO plus,5,1m 7f 156y,3456,Soft,,3m 59.34s,239.34,14.4397092,14.21,4,4,29.5,30,59,3,Rains Of Castamere,,25,5,11,2,156,,,I Jardine,Craig Nichol,,
44562104,Catterick,01/01/2022,14:15,#jumpingforjoy On Racing TV Novices' Hurdle (GBB Race),h,4,4YO plus,5,1m 7f 156y,3456,Soft,,3m 59.34s,239.34,14.4397092,14.1,5,5,43.5,44,87,5,Lindwall,,22,4,10,4,144,,t,D McCain Jnr,Paul OBrien,,
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.96,1,1,0,0,0,10,Tumbling Dice,,5.5,7,9,11,137,2Fav,p1,Mrs S J Smith,Thomas Willmott,5,69
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.94,2,2,3,3,6,4,Spot On Soph,,0.727272727,6,11,6,160,Fav,t   h,S England,Jonathan England,,87
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.93,3,3,5,5,10,8,Hidden Cargo,,16,10,10,5,145,,,J C Haynes,Thomas Dowson,,72
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.91,4,4,9.75,10,19.5,1,Path To Freedom,,14,10,11,12,166,,t   p,Jacqueline Coward,Page Fuller,,93
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.82,5,5,28.75,29,57.5,3,Catlin,,11,7,11,7,161,,p,Nick Kent,Paul OBrien,,88
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.6,6,6,77.75,78,155.5,2,Chase The Wind,,10,13,11,10,164,,t,Miss J E Foster,Sean Quinlan,,91
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.91,9,9,,9,18,5,Whitechurch,,16,8,11,0,154,,p,D McCain Jnr,Theo Gillard,5,86
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.91,9,9,,9,18,7,The Very Thing,,33,8,10,8,148,,p,Micky Hammond,A P Cawley,,75
44562105,Catterick,01/01/2022,14:45,racingtv.com Handicap Chase (Go North Red Rum Series Qualifier),c,5,5YO plus,9,3m 1f 54y,5554,Soft,100,6m 37.95s,397.95,13.9565272,13.91,9,9,,9,18,9,Iskabeg Lane,,22,11,10,4,144,,p,Mrs S J Smith,Sam Coltherd,,71
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.72,1,1,0,0,0,7,Alright Marlene,,5.5,9,11,4,158,,t,Jacqueline Coward,Page Fuller,,97
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.71,2,2,0.5,1,1,3,El Jefe,,3.333333333,5,11,3,157,Fav,h,A B Hamilton,William Shanahan,7,103
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.66,3,3,7,7,14,14,Snowed In,,22,13,9,9,135,,p,B Butterworth,Thomas Willmott,5,79
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.63,4,4,10,10,20,6,Bestiarius,,3.5,10,11,7,161,2Fav,,Miss G Boanas,Sean Quinlan,,100
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.59,5,5,15.5,16,31,9,Jamil,,28,7,10,6,146,,t1,Miss T Jackson,S Mulqueen,,85
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.51,6,6,25,25,50,13,Ex Selance (FR),,5.5,8,10,3,143,,,V Thompson,Thomas Dowson,,82
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.5,7,7,26.75,27,53.5,2,Captain Moirette (FR),,16,10,11,7,161,,b1,James Moffatt,Charlotte Jones,5,105
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.47,8,8,30.25,30,60.5,5,Up With The Play,,100,5,11,0,154,,,V Thompson,Mr Paddy Barlow,7,100
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.45,9,9,32.25,32,64.5,1,Ilaya (FR),,9,8,11,9,163,,t   h,Micky Hammond,Miss Becky Smith,3,105
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.43,10,10,34.75,35,69.5,8,Get Phar,,20,6,11,0,154,,,D Brooke,Craig Nichol,,93
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.43,11,11,35.5,36,71,12,Motahassen,,25,8,10,3,143,,t,D Carroll,A P Cawley,,82
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.41,12,12,37.75,38,75.5,10,Shamrock Wine,,28,4,10,2,142,,h1,B Ellison,Nathan Moscrop,3,96
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.15,13,13,70.75,71,141.5,11,Comber Mill (FR),,66,10,10,0,140,,h,D Thompson,Danny Burton,5,84
44562106,Catterick,01/01/2022,15:20,Racing Again 13th January Handicap Hurdle,h,5,4YO plus,14,1m 7f 156y,3456,Soft,105,3m 54.85s,234.85,14.71577603,14.64,9,9,,9,18,4,Baltic Baron,,11,7,11,9,163,,,B Ellison,Sam Coltherd,,102
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.44,1,1,0,0,0,2,Hillcrest,,3,7,11,7,161,J2Fav,,H D Daly,Richard Patrick,,128
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.43,2,2,2,2,4,3,I Am Maximus (FR),,1.4,6,11,7,161,Fav,,N J Henderson,Nico de Boinville,,129
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.36,3,3,13,13,26,7,Get A Tonic,,3,6,11,0,154,J2Fav,,D Skelton,Harry Skelton,,128
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.31,4,4,21,21,42,6,Pull Again Green,,11,6,11,7,161,,,F OBrien,P J Brennan,,126
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.3,5,5,23.25,23,46.5,1,Doctor Ken (FR),,12,6,11,7,161,,,Olly Murphy,Aidan Coleman,,127
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.29,6,6,24.5,25,49,5,Mot A Mot (FR),,40,6,11,7,161,,,N J Henderson,James Bowen,,
44562107,Cheltenham,01/01/2022,12:15,Ballymore Novices' Hurdle (Listed Race) (GBB Race),h,1,4YO plus,7,2m 4f 56y,4456,Soft,,5m 8.60s,308.6,14.43940376,14.12,7,7,52.5,53,105,4,Jacks A Legend,,66,7,11,7,161,,,A E Jones,Harry Bannister,,
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.35,1,1,0,0,0,6,Full Back (FR),,4.5,7,11,2,156,JFav,,G L Moore,J E Moore,,135
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.34,2,2,2.25,2,4.5,5,The Wolf (FR),,10,8,11,3,157,,t,Olly Murphy,Adrian Heskin,,136
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.32,3,3,6.5,7,13,7,Smooth Stepper,,50,13,11,2,156,,p1,A M Hales,Harry Bannister,,135
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.32,4,4,6.7,7,13.4,11,Big Nasty,,7,9,10,3,143,,p,M Keighley,S Bowen,,122
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.31,5,5,8.45,8,16.9,10,Potters Legend,,28,12,10,11,151,,v1,Mrs L Wadham,Jack Quinlan,,130
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.28,6,6,17.95,18,35.9,4,Undersupervision,,4.5,6,11,3,157,JFav,,N A Twiston-Davies,Sam Twiston-Davies,,136
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.31,9,9,,9,18,9,Destinee Royale (FR),,5,9,10,13,153,,,Miss V Williams,Charlie Deutsch,,132
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.31,9,9,,9,18,1,Brave Eagle,,22,10,11,12,166,,p,N J Henderson,Nico de Boinville,,145
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.31,9,9,,9,18,2,Honest Vic,,7.5,9,11,8,162,,b,H D Daly,Richard Patrick,,141
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.31,9,9,,9,18,3,Newtide,,18,9,11,4,158,,t,K C Bailey,C Gethings,,137
44562108,Cheltenham,01/01/2022,12:50,New Four Eighty Restaurant At Cheltenham Festival Handicap Chase (GBB Race),c,2,5YO plus,11,3m 2f 70y,5790,Soft,145,7m 13.73s,433.73,13.3493187,13.31,9,9,,9,18,12,Captain Tommy,,5.5,8,10,1,141,,,D G Bridgwater,Brendan Powell,,120
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,14.03,1,1,0,0,0,2,Lhomme Presse (FR),,1.75,7,11,3,157,Fav,,Miss V Williams,Charlie Deutsch,,148
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.97,2,2,10,10,20,9,The Glancing Queen,,3,8,10,12,152,2Fav,,A King,Tom Cannon,,142
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.96,3,3,12.5,13,25,4,Fantastikas (FR),,14,7,11,0,154,,,N A Twiston-Davies,Sam Twiston-Davies,,140
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.93,4,4,18.5,19,37,7,Oscar Elite,,14,7,11,0,154,,t,C L Tizzard,Brendan Powell,,137
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.91,5,5,21,21,42,3,Come On Teddy,,7,8,11,0,154,,,T R George,J J Burke,,138
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.82,6,6,37,37,74,8,Zurekin,,125,6,11,0,154,,t1,Mrs S Leech,Adrian Heskin,,135
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.98,9,9,,9,18,1,Gladiateur Allen (FR),,33,6,11,3,157,,,Mrs J Williams,Chester Williams,,136
44562109,Cheltenham,01/01/2022,13:25,Paddy Power Novices' Chase (Registered As The Dipper Novices' Chase) (Grade 2) (GBB Race),c,1,5YO plus,8,2m 4f 127y,4527,Soft,,5m 22.63s,322.63,14.03155317,13.98,9,9,,9,18,6,Millers Bank,,4,8,11,0,154,,,A M Hales,Harry Bannister,,149
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.99,1,1,0,0,0,12,Vienna Court,,10,7,10,6,146,,,N A Twiston-Davies,Sam Twiston-Davies,,135
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.98,2,2,1.75,2,3.5,3,Simply The Betts,,8.5,9,11,10,164,,,P F Nicholls,H Cobden,,153
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.92,3,3,11.75,12,23.5,8,Alnadam (FR),,5,9,11,0,154,JFav,,D Skelton,Harry Skelton,,143
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.92,4,4,11.95,12,23.9,4,Magic Saint (FR),,50,8,11,1,155,,t   p1,P F Nicholls,Tom Buckley,5,149
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.92,5,5,12.15,12,24.3,16,Deyrann de Carjac (FR),,14,9,10,2,142,,,A King,Brendan Powell,,131
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.91,6,6,14.65,15,29.3,13,Galahad Quest (FR),,9,6,10,5,145,,t,Nick Williams,David Noonan,,134
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.9,7,7,15.15,15,30.3,2,Janika (FR),,40,9,11,10,164,,t,N J Henderson,James Bowen,,153
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.9,8,8,15.17,15,30.34,6,Coole Cody,,5,11,11,4,158,JFav,,Evan Williams,Adam Wedge,,147
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.84,9,9,26.17,26,52.34,1,Funambule Sivola (FR),,7,7,11,12,166,,,Miss V Williams,Charlie Deutsch,,155
44562110,Cheltenham,01/01/2022,14:00,Paddy Power New Year's Day Handicap Chase (Grade 3) (GBB Race),c,1,5YO plus,16,2m 4f 127y,4527,Soft,,5m 23.57s,323.57,13.99079025,13.83,10,10,27.92,28,55.84,11,A Toi Phil (FR),,50,12,10,7,147,,,G L Moore,J E Moore,,136
