Id,course,RaceDate,RaceTime,Race,Type,Class,AgeLimit,runners,Distance,Yards,going,Limit,WinTime,Seconds,speed,others,pos1,position,TotalBtn,Unnamed: 20,distance,CardNo,horsename,Draw,price,Age,Stone,Lbs,WeightLBS,Favs,Aid,Trainer,Jockey,Allow,OR,Comments,Form,Days,CDB,Odds,Decimal,previous_position,days-since,difficulty
44573107,Kempton,44573,0.791666667,Follow @racingtv On Twitter Classified Stakes,,6,4YO plus,11,1m 3f 219y,2639,Standard / Slow (AW - Polytrack),50,2m 40.18s,160.18,16.47521538,16.48,1,1,0,0,0,1,Capricorn Prince,5,9,6,9,5,131,,b,G L Moore,Rhys Clutterbuck,3,52,"held up, wide and headway entering final furlong, led inside final furlong, ran on",08774-1,8,CD,45331,4.5,1,8,27
44573108,Kempton,44573,0.8125,Unibet New Instant Roulette Handicap,,6,4YO plus,6,1m 7f 218y,3518,Standard / Slow (AW - Polytrack),65,3m 40.53s,220.53,15.95247812,15.9,5,5,5.97,6,11.94,3,Metal Man,6,3,6,9,7,133,2Fav,v,Rebecca Menzies,Callum Shepherd,,57,"tracked winner, pushed along 3f out, ridden and weakened entering final furlong, eased",23254-1,8,D,45515,1.375,1,8,27
44573115,Lingfield,44573,0.524305556,MansionBet Proud Partners Of The AWC Handicap,,5,4YO plus,6,1m 1y,1761,Standard (AW - Polytrack),75,1m 36.37s,96.37,18.27332157,18.22,5,5,2.25,2,4.5,6,Prince Rock,1,12,7,8,8,120,,,S Dow,Tyler Heard,5,67,"led, ridden and headed inside final furlong, no extra",72399-1,9,CD,45331,4.5,1,9,63
44573118,Lingfield,44573,0.586805556,#Betyourway At Betway Handicap,,5,4YO plus,6,5f 6y,1106,Standard (AW - Polytrack),70,0m 58.05s,58.05,19.05254091,19.05,1,1,0,0,0,1,Strong Power,4,0.3,5,10,0,140,Fav,,Alice Haynes,K T ONeill,,76,"in touch towards rear, pushed along and headway to lead inside final furlong, ran on, comfortable",648-211,5,CD,45447,0.666666667,1,5,63
44573119,Lingfield,44573,0.607638889,Betway Handicap,,3,4YO plus,4,1m 4f,2640,Standard (AW - Polytrack),90,2m 37.42s,157.42,16.77042307,16.77,1,1,0,0,0,1,Trevolli,3,1,4,9,6,132,Fav,p,Ivan Furtado,K T ONeill,,81,"tracked leader, led 2f out, ridden and pressed inside final furlong, ran on, always doing enough",23121-1,4,CD,45388,1.5,1,4,63
44574104,Bangor-On-Dee,44574,0.625,Magners Handicap Hurdle,h,5,4YO plus,8,2m 7f 7y,5067,Soft (Heavy in places),105,6m 16.14s,376.14,13.47104801,13.47,1,1,0,0,0,1,Green Vault,,0.5,6,11,5,159,Fav,t,Miss Lucinda V Russell,Alan Doyle,7,104,"held up in rear, not much room 1st, not fluent 2nd, headway after normal 5 out, led and not fluent 2 out, clear approaching last, easily",61-2731,4,,45323,0.5,1,4,82
44574109,Catterick,44574,0.569444444,Millbry Hill Novices' Handicap Chase,c,5,5YO plus,9,3m 1f 54y,5554,Good to Soft (Soft in places),105,6m 44.00s,404,13.74752475,13.71,9,9,,9,18,7,Tumbling Dice,,2.25,7,10,0,140,JFav,p,Mrs S J Smith,C OFarrell,,74,"led until 2nd, left in lead next, headed 7th, hit 14th, led again next, ridden before 2 out, strongly pressed when tired fall last",90-7531,12,CD,45393,2.75,1,12,18
44575121,Sedgefield,44575,0.638888889,Cazoo Search Drive Smile Mares' Handicap Hurdle (Go North Lady Buttons Series Qualifier),h,5,4YO plus,8,2m 178y,3698,Good to Soft (Soft in places),105,4m 15.60s,255.6,14.46791862,14.41,3,3,7.2,7,14.4,2,Alright Marlene,,2,9,11,9,163,2Fav,t,Jacqueline Coward,Alex Edwards,3,102,"raced keenly, led, ridden and headed before 2 out, lost 2nd between last two, stayed on same pace in 3rd, no chance with leading duo",4P2-461,13,,45327,2.5,1,13,68
44575123,Wolverhampton,44575,0.6875,Play 4 To Win At Betway Apprentice Handicap,,4,4YO plus,4,1m 4f 51y,2691,Standard (AW - Tapeta),85,2m 37.70s,157.7,17.06404566,17.03,2,2,2.5,3,5,1,Chipiron (FR),4,1.375,6,9,3,129,Fav,,Ivan Furtado,Elle-May Croot,7,84,"flashed tail at times, pressed leader with head to one side, led inside final 3f, ridden and hung left from over 1f out, headed and one pace inside final furlong",33633-1,7,D C,45576,1.1,1,7,51
44575127,Wolverhampton,44575,0.770833333,Betway Handicap,,3,4YO plus,4,2m 120y,3640,Standard (AW - Tapeta),95,3m 35.06s,215.06,16.92550916,16.93,1,1,0,0,0,4,Famous Star,3,0.615384615,4,8,6,118,Fav,t,S & E Crisford,Hollie Doyle,,77,"steadied start, close up in 4th, wide and headway to chase leader 2f out, ridden to challenge inside final furlong, stayed on to lead close home",213-1,11,CD,45517,1.625,1,11,51
44575124,Wolverhampton,44575,0.708333333,MansionBet Proud Partners Of AWC Classified Selling Stakes,,6,4YO plus,7,1m 142y,1902,Standard (AW - Tapeta),65,1m 49.06s,109.06,17.43994132,17.35,7,7,4.05,4,8.1,1,Never Said Nothing,3,5,5,9,3,129,,h,Mark Loughnane,Philip Prince,,66,"dipped in stalls before start, pulled hard, led early, chased leaders, ridden over 2f out, weakened from over 1f out",U1665-1,11,CD,45393,2.75,1,11,51
44575110,Lingfield,44575,0.569444444,Play Coral Racing-Super-Series For Free Fillies' Handicap,,5,4YO plus,5,1m 2f,2200,Standard (AW - Polytrack),70,2m 6.00s,126,17.46031746,17.46,1,1,0,0,0,1,Nuble (URU),1,1.625,6,9,3,129,Fav,t Â Â h,M Botti,Christian Howarth,7,68,"tracked leaders, headway on inner over 1f out, ridden to lead inside final furlong, soon pressed, ran on gamely",06361-1,6,CD,45517,1.625,1,6,63
44575128,Wolverhampton,44575,0.791666667,Betway Classified Stakes,,6,4YO plus,9,5f 21y,1121,Standard (AW - Tapeta),50,1m 1.19s,61.19,18.31998693,18.32,1,1,0,0,0,11,The Tron,10,0.8,4,8,9,121,Fav,v,D Shaw,Morgan Cole,7,46,"slowly away and went right start, raced wide in rear, slightly hampered entering final 2f, ridden and headway approaching final furlong, ran on to lead final strides",28342-1,3,D,45393,2.75,1,3,51
44576105,Chelmsford City,44576,0.760416667,Hockton Family Handicap,,6,4YO plus,9,1m,1760,Standard (AW - Polytrack),65,1m 40.05s,100.05,17.5912044,17.59,1,1,0,0,0,1,Almaan (USA),6,2.75,4,9,12,138,2Fav,,Henry Spiller,Christian Howarth,7,74,"held up rear of mid-division, headway and switched left over 1f out, soon hung left, went 2nd inside final furlong, stayed on well, led close home",4/348-1,9,CD,45519,1.875,1,9,61
44576143,Fairyhouse (IRE),44576,0.654166667,Jump Into January Handicap Hurdle (Div 2),h,,4YO plus,15,2m 4f,4400,Soft,95,5m 30.00s,330,13.33333333,13.31,2,2,4.25,4,8.5,11,Arctic Ambition,,1.875,7,11,5,159,Fav,,R Tyner,R P Treacy,,83,"rear of mid-division, headway into mid-division at halfway, went 2nd travelling well entering straight, ridden before last, kept on same pace under pressure inside final furlong",P-70321,14,,45393,2.75,1,14,85
44576121,Lingfield,44576,0.645833333,#betyourway At Betway Handicap,,6,4YO plus,9,1m 4f,2640,Standard (AW - Polytrack),60,2m 31.02s,151.02,17.48112833,17.47,2,2,0.75,1,1.5,2,Devizes,2,1.375,6,9,4,130,Fav,,P Phelan,Rhys Clutterbuck,3,59,"dwelt, held up in mid-division, pushed along 3f out, headway over 1f out, stayed on, went 2nd towards finish",03554-1,8,CD,45391,2.25,1,8,63
44576130,Wetherby,44576,0.54375,Bet At racingtv.com Novices' Hurdle (Novices' Championship Hurdle Series Qualifier) (GBB Race),h,4,4YO plus,5,2m 3f 154y,4334,Soft,,5m 12.38s,312.38,13.87412767,13.8,2,2,12,12,24,2,Escapeandevade,,3.2,6,11,9,163,,,J P L Ewart,Callum Bewley,,,"led, narrow advantage when ridden 3 out, headed 2 out, weakened from last",F-PU211,13,D,45335,6.5,1,13,21
44576125,Warwick,44576,0.600694444,Ballymore Leamington Novices' Hurdle (Grade 2) (GBB Race),h,1,5YO plus,7,2m 5f,4620,Soft,,5m 17.66s,317.66,14.54385192,14.39,6,6,25.75,26,51.5,2,Howdyalikemenow,,16,6,11,0,154,,,Evan Williams,Adam Wedge,,127,"in touch, pushed along and outpaced 3 out",52-1101,10,,45303,12,1,10,41
44576117,Lingfield,44576,0.548611111,MansionBet Beaten By A Head Handicap,,6,4YO plus,12,7f 1y,1541,Standard (AW - Polytrack),60,1m 22.71s,82.71,18.63136259,18.63,2,2,0.2,0,0.4,10,Intervention,10,1.375,5,9,1,127,Fav,p,M Appleby,Jason Watson,,54,"held up towards rear, switched right over 1f out, ran on strongly inside final furlong, went 2nd close home, not quite reach winner",54304-1,5,D,45517,1.625,1,5,63
44576120,Lingfield,44576,0.621527778,Read Katie Walsh On Betway Insider Handicap,,6,4YO plus,10,1m 2f,2200,Standard (AW - Polytrack),60,2m 4.02s,124.02,17.73907434,17.74,1,1,0,0,0,3,No Flies On Me (FR),10,0.727272727,4,9,6,132,Fav,,M Johnston,J Fanning,,60,"made all, 3 lengths clear over 1f out, reduced lead and hung right well inside final furlong, just held on, finished 1st, placed 2nd",57921-1,8,CD,45418,1.2,1,8,63
44576116,Lingfield,44576,0.524305556,Play Coral Racing-Super-Series For Free Fillies' Novice Stakes (GBB Race),,5,3YO plus,12,1m 1y,1761,Standard (AW - Polytrack),,1m 36.93s,96.93,18.16774992,18.17,1,1,0,0,0,1,Party On Girl,2,1.2,3,9,0,126,Fav,,George Boughey,Hayley Turner,,,"tracked leaders, led over 1f out, quickened clear, eased towards finish",45295,7,CD,45391,2.25,1,7,63
44576107,Chelmsford City,44576,0.802083333,Book Tickets Online At chelmsfordcityracecourse.com Handicap,,4,4YO plus,6,2m,3520,Standard (AW - Polytrack),80,3m 32.01s,212.01,16.60299042,16.44,5,5,16,16,32,6,Riggsby,5,4,4,8,10,122,J2Fav,,Miss J A Camacho,G Lee,,68,"raced keenly, tracked leaders on outside, went 2nd after 2f until 10f out, lost place over 2f out",46931-1,11,D,45295,4,1,11,61
44576117,Lingfield,44576,0.548611111,MansionBet Beaten By A Head Handicap,,6,4YO plus,12,7f 1y,1541,Standard (AW - Polytrack),60,1m 22.71s,82.71,18.63136259,18.63,1,1,0,0,0,11,Split Elevens,8,12,4,9,1,127,,v,J Butler,Hollie Doyle,,54,"chased leaders, ridden over 2f out, went 3rd 1f out, went 2nd inside final furlong, ran on, led towards finish",52373-1,9,D,45335,6.5,1,9,63
44577114,Southwell,44577,0.666666667,Betway Handicap,,4,4YO plus,9,6f 16y,1336,Standard / Slow (AW),80,1m 16.39s,76.39,17.48920016,17.49,1,1,0,0,0,4,Airshow,9,7,7,9,6,132,,p,B R Millman,R Coakley,,79,"led after 1f, soon a couple of lengths clear, ridden and hung right to stand side over 1f out, driven all out",11242-1,11,D C,45331,4.5,1,11,38
44577112,Southwell,44577,0.625,Play Coral Racing-Super-Series For Free Handicap,,3,3YO only,6,7f 14y,1554,Standard / Slow (AW),90,1m 28.94s,88.94,17.47245334,17.31,5,5,6.15,6,12.3,5,Devasboy,1,3.5,3,8,12,124,,,C & M Johnston,J Fanning,,80,"tracked leaders, pushed along 2f out, held when slightly hampered approaching final furlong",1383-41,3,D,45393,2.75,1,3,38
44577108,Southwell,44577,0.538194444,MansionBet Proud Partners Of The AWC Handicap,,6,4YO plus,12,1m 13y,1773,Standard / Slow (AW),60,1m 42.92s,102.92,17.22697241,17.17,6,6,2.75,3,5.5,1,Oud Metha Bridge,3,11,8,9,7,133,,p,Miss J Feilden,D E Hogan,,60,"dwelt in rear, pushed along 2f out, ridden and headway near side over 1f out, kept on one pace",37460-1,15,CD,45298,7,1,15,38
44577101,Kelso,44577,0.545138889,White Swan Handicap Chase (Go North Monet's Garden Series Qualifier),c,4,5YO plus,7,2m 5f 133y,4753,Good to Soft (Soft in places),120,5m 57.46s,357.46,13.29659263,13.24,4,4,10.75,11,21.5,3,Pitempton Power,,4,7,11,7,161,,,Ewan Whillans,Callum Bewley,,113,"midfield, pushed along before 2 out, faded approaching last",32-4511,15,,45389,1.75,1,15,16
44578121,Wolverhampton,44578,0.8125,Play 4 To Win At Betway Handicap,,6,4YO plus,10,1m 1f 104y,2084,Standard (AW - Tapeta),65,1m 58.18s,118.18,17.63411745,17.63,1,1,0,0,0,1,Almufeed,5,0.909090909,5,9,8,134,Fav,,S Curran,Grace McEntee,3,66,"led, headed 7f out, tracked leaders, switched right over 2f out, chased leader over 1f out, pushed along to lead inside final furlong, ran on",07876-1,12,CD,45361,3.333333333,1,12,51
44578106,Chepstow,44578,0.631944444,Dunraven Windows Mares' Handicap Chase (Hereford Mares' Chase Series Qualifier),c,4,5YO plus,7,2m 7f 131y,5191,Soft,110,6m 34.60s,394.6,13.15509377,13.14,2,2,4.25,4,8.5,3,Barden Bella,,3,6,11,0,154,Fav,,Christian Williams,Jack Tudor,3,98,"not fluent 1st, tracked leaders, went 2nd before 4 out, stayed on same pace, no chance with winner",2-19621,16,,45388,1.5,1,16,46
44578127,Punchestown (IRE),44578,0.649305556,Hollywoodbets Now Streaming UK & Irish Racing Handicap Hurdle,h,,4YO plus,22,3m 40y,5320,Soft,102,6m 38.10s,398.1,13.36347651,13.32,9,9,,9,18,24,Greenhill Damsel,,3,7,11,6,160,Fav,,G J Power,J J Slevin,,89,"tracked leaders, 5th halfway, weakened quickly after 4 out, no extra and pulled up before 3 out",9F0051,2,,-,-,1,2,35
44578117,Wolverhampton,44578,0.729166667,#betyourway At Betway Handicap,,5,4YO plus,9,6f 20y,1340,Standard (AW - Tapeta),70,1m 13.28s,73.28,18.2860262,18.2,6,6,2.6,3,5.2,1,Impeach,8,8.5,4,9,8,134,,t Â Â b,C N Allen,M Dwyer,,71,"tracked leader, ridden and every chance over 1f out, weakened inside final furlong",62450-1,13,D,45327,2.5,1,13,51
44578108,Chepstow,44578,0.677083333,Cazoo Handicap Hurdle (Div 2),h,5,4YO plus,10,2m 3f 100y,4280,Soft,100,5m 12.10s,312.1,13.71355335,13.69,2,2,3.25,3,6.5,9,Mickyh,,10,6,10,4,144,,t Â Â p,Adam West,Page Fuller,,78,"awkward 1st, led and raced keenly, ridden and headed between last two, stayed on same pace, no chance with winner",4PP-781,15,,45297,6,1,15,46
44578118,Wolverhampton,44578,0.75,Betway Handicap,,3,4YO plus,8,1m 1f 104y,2084,Standard (AW - Tapeta),95,1m 59.93s,119.93,17.37680314,17.36,2,2,0.75,1,1.5,6,Society Red,5,7,8,9,1,127,,,R A Fahey,Connor Murtagh,3,86,"tracked leader, led over 2f out, ridden and headed inside final furlong",60641-1,11,CD,45327,2.5,1,11,51
44579117,Southwell,44579,0.722222222,Play 4 To Win At Betway Handicap (Div 2),,6,4YO plus,9,4f 214y,1094,Standard / Slow (AW - Tapeta),55,0m 59.86s,59.86,18.27597728,18.28,1,1,0,0,0,2,Bernard Spierpoint,10,3,5,9,7,133,2Fav,v,Charlie Wallis,L Morris,,54,"prominent, ridden and rallied 2f out, ran on well to lead inside final furlong, won easily",54341-1,11,CD,45391,2.25,1,11,38
44579115,Southwell,44579,0.680555556,Read Katie Walsh On Betway Insider Handicap,,5,4YO plus,9,4f 214y,1094,Standard / Slow (AW - Tapeta),75,0m 57.74s,57.74,18.94700381,18.95,1,1,0,0,0,9,Bert Kibbler,6,2,4,9,0,126,Fav,,T D Barron,Connor Beasley,,67,"broke well, prominent and travelled strongly, ridden to lead at 2f out, went clear inside final furlong, won easily",25373-1,17,CD,45393,2.75,1,17,38
44579122,Southwell,44579,0.826388889,Betway Handicap,,6,4YO plus,14,6f 16y,1336,Standard / Slow (AW - Tapeta),60,1m 15.67s,75.67,17.65560989,17.49,11,11,5.25,5,10.5,6,Fircombe Hall,4,3.5,4,9,5,131,Fav,p,P A Kirby,G Lee,,58,"held up towards rear, ridden over 1f out, no impression",73213-1,14,D,45294,3,1,14,38
44579120,Southwell,44579,0.784722222,MansionBet Proud Partners Of The AWC Handicap,,3,4YO plus,7,7f 14y,1554,Standard / Slow (AW - Tapeta),95,1m 29.23s,89.23,17.41566738,17.36,3,3,2,2,4,1,Mohareb,5,4,6,9,6,132,,,M Appleby,Theodore Ladd,3,93,"pressed leader, led 2f out, edged right over 1f out, headed inside final furlong, stayed on same pace",27922-1,9,D C,45293,2,1,9,38
44580115,Southwell,44580,0.711805556,Read Katie Walsh On Betway Insider Handicap,,6,4YO plus,11,1m 4f 14y,2654,Standard / Slow (AW - Taoeta),65,2m 40.99s,160.99,16.48549599,16.47,3,3,1.2,1,2.4,4,Aljaryaal (FR),10,1.75,4,9,8,134,Fav,p1,Joseph Parr,Tom Marquand,,64,"soon led, pushed after 3f out, ridden 2f out, headed inside final furlong, plugged away but lost a further place late on",0/6172-1,11,D,45391,2.25,1,11,38
44580117,Southwell,44580,0.753472222,MansionBet Beaten By A Head Classified Stakes,,6,4YO plus,14,1m 13y,1773,Standard / Slow (AW - Taoeta),50,1m 42.04s,102.04,17.375539,17.38,1,1,0,0,0,1,Back From Dubai,4,3,5,9,7,133,JFav,,S R Bowring,R Winston,,48,"led briefly, chased leader, led over 1f out, clear when shaken up inside final furlong, ran on well",96867-1,8,CD,45301,10,1,8,38
44580114,Southwell,44580,0.690972222,Betway Classified Stakes,,6,4YO plus,12,4f 214y,1094,Standard / Slow (AW - Taoeta),50,0m 58.81s,58.81,18.60227852,18.59,2,2,0.2,0,0.4,4,Blackcurrent,3,5,6,9,2,128,2Fav,p,A D Brown,D Swift,,49,"led narrowly, pushed after 3f out, ridden when headed after 2f out, battled back to lead inside final furlong, drifted left and headed late on",37461-1,12,D C,45298,7,1,12,38
44580122,Dundalk (IRE),44580,0.569444444,DundalkStadium.com Rated Race,,,3YO only,6,5f,1100,Standard (AW - Polytrack),,1m 0.01s,60.01,18.33027829,18.33,1,1,0,0,0,3,Daintree,5,12,3,8,8,120,,v,J G Coogan,N M Crosse,3,59,"dwelt, held up in touch in 5th, pushed along and headway 2f out, disputed lead 1 1/2f out, ridden and led 1f out, stayed on well final furlong",76783-1,12,CD,45335,6.5,1,12,65
44580117,Southwell,44580,0.753472222,MansionBet Beaten By A Head Classified Stakes,,6,4YO plus,14,1m 13y,1773,Standard / Slow (AW - Taoeta),50,1m 42.04s,102.04,17.375539,17.23,7,7,6.27,6,12.54,2,Dubai Elegance,3,7.5,8,9,6,132,,p,D Shaw,Cam Hardie,,49,"chased leaders on inside, pushed along over 2f out, ridden and hung left inside final 2f, weakened final furlong",4998-31,8,CD,45333,5.5,1,8,38
44580111,Plumpton,44580,0.631944444,Get Racing's Best Ratings With Timeform Handicap Hurdle,h,4,4YO plus,8,3m 217y,5497,Good to Soft (Good in places),110,6m 40.83s,400.83,13.71404336,13.71,1,1,0,0,0,6,Dynamite Kentucky (FR),,0.8,7,11,1,155,Fav,b,Dr R D P Newland,Cillin Leonard,5,104,"tracked leaders, led approaching 3 out, headed soon after 3 out, chased leader, ridden last, stayed on to lead towards finish, ran on",264621,8,,45388,1.5,1,8,29
44580129,Dundalk (IRE),44580,0.722222222,Book Online At DundalkStadium.com Handicap,,,4YO plus,10,1m,1760,Standard (AW - Polytrack),75,1m 41.40s,101.4,17.35700197,17.31,6,6,2.1,2,4.2,4,Liquid Luck,10,2,6,9,6,132,Fav,es,John Feane,S T McCullagh,5,70,"rear of mid-division, ridden in 8th 2f out, closer 7th 1f out, kept on final furlong, not reach leaders",90/708-1,12,C,45327,2.5,1,12,65
44580116,Southwell,44580,0.732638889,MansionBet Proud Partners Of The AWC Handicap,,5,4YO plus,6,1m 13y,1773,Standard / Slow (AW - Taoeta),70,1m 42.26s,102.26,17.33815764,17.31,3,3,1.25,1,2.5,3,Lucayan,4,1.625,4,9,3,129,Fav,p,Joseph Parr,David Probert,,71,"tracked leaders in close 4th, ridden and went 2nd over 1f out until no extra in 3rd inside final 100 yards, slightly hampered towards finish",53111-1,10,CD,45391,2.25,1,10,38
44580115,Southwell,44580,0.711805556,Read Katie Walsh On Betway Insider Handicap,,6,4YO plus,11,1m 4f 14y,2654,Standard / Slow (AW - Taoeta),65,2m 40.99s,160.99,16.48549599,16.49,1,1,0,0,0,1,Percy Willis,11,4,4,10,2,142,J2Fav,p,Jedd OKeeffe,P J McDonald,,72,"midfield, travelled strongly behind leaders until pushed approaching final furlong, ridden into lead late on, comfortably",33326-1,6,D,45294,3,1,6,38
44580114,Southwell,44580,0.690972222,Betway Classified Stakes,,6,4YO plus,12,4f 214y,1094,Standard / Slow (AW - Taoeta),50,0m 58.81s,58.81,18.60227852,18.57,3,3,0.7,1,1.4,1,The Tron,1,1.875,4,9,0,126,Fav,v,D Shaw,Morgan Cole,7,51,"close-up, pushed after 3f out, ridden 2f out, kept on gamely but never quite getting there",8342-11,5,CD,45361,3.333333333,1,5,38
44581110,Newcastle,44581,0.6875,Coral Proud To Support British Racing Handicap,,5,3YO only,4,1m 5y,1765,Standard / Slow (AW - Tapeta),75,1m 49.30s,109.3,16.14821592,16.15,1,1,0,0,0,2,Cephalus,3,3,3,9,7,133,,,C Hills,P J McDonald,,73,"chased leader, ridden to challenge and led inside final furlong, ran on well",63711-1,14,CD,45606,0.909090909,1,14,60
44581117,Wincanton,44581,0.572916667,Watch RacingTV With Free Trial Now Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),h,3,4YO plus,8,3m 150y,5430,Good to Soft,135,6m 24.27s,384.27,14.13068936,14.09,3,3,8.75,9,17.5,3,Jepeck,,11,13,11,7,161,,,A J Honeyball,Ben Godfrey,3,130,"led, ridden and joined 2 out, headed approaching next, kept on one pace",7R3-P71,12,D C,45295,4,1,12,37
